year,month,mslp_tahiti,mslp_darwin
1866,01,10106,10072
1866,02,10109,10063
1866,03,10115,10083
1866,04,10114,10097
1866,05,10125,10107
1866,06,10136,10131
1866,07,10135,10131
1866,08,10155,10130
1866,09,10139,10118
1866,10,10138,10106
1866,11,10134,10087
1866,12,10112,10078
1867,01,10123,10074
1867,02,10112,10064
1867,03,10128,10087
1867,04,10128,10097
1867,05,10130,10107
1867,06,10133,10124
1867,07,10144,10128
1867,08,10148,10124
1867,09,10139,10113
1867,10,10121,10096
1867,11,10124,10105
1867,12,10100,10079
1868,01,10102,10060
1868,02,10110,10069
1868,03,10100,10084
1868,04,10127,10102
1868,05,10122,10124
1868,06,10128,10137
1868,07,10137,10134
1868,08,10133,10135
1868,09,10128,10125
1868,10,10125,10113
1868,11,10112,10105
1868,12,10123,10077
1869,01,10085,10077
1869,02,10116,10074
1869,03,10130,10097
1869,04,10117,10068
1869,05,10130,10093
1869,06,10140,10110
1869,07,10156,10125
1869,08,10145,10113
1869,09,10141,10115
1869,10,10137,10091
1869,11,10119,10078
1869,12,10105,10061
1870,01,10104,10039
1870,02,10105,10052
1870,03,10119,10089
1870,04,10127,10100
1870,05,10131,10118
1870,06,10135,10133
1870,07,10139,10127
1870,08,10149,10116
1870,09,10141,10117
1870,10,10132,10110
1870,11,10112,10094
1870,12,10103,10089
1871,01,10092,10069
1871,02,10116,10071
1871,03,10104,10095
1871,04,10115,10096
1871,05,10123,10112
1871,06,10140,10124
1871,07,10144,10130
1871,08,10152,10127
1871,09,10150,10116
1871,10,10131,10101
1871,11,10114,10082
1871,12,10126,10072
1872,01,10130,10032
1872,02,10122,10050
1872,03,10126,10056
1872,04,10131,10117
1872,05,10135,10101
1872,06,10140,10100
1872,07,10154,10109
1872,08,10148,10115
1872,09,10177,10099
1872,10,10151,10090
1872,11,10150,10072
1872,12,10132,10046
1873,01,10131,10037
1873,02,10143,10073
1873,03,10155,10085
1873,04,10145,10101
1873,05,10154,10131
1873,06,10146,10167
1873,07,10144,10153
1873,08,10147,10136
1873,09,10138,10150
1873,10,10115,10110
1873,11,10115,10089
1873,12,10110,10050
1874,01,10123,10059
1874,02,10123,10082
1874,03,10128,10094
1874,04,10127,10094
1874,05,10135,10102
1874,06,10128,10134
1874,07,10139,10132
1874,08,10160,10129
1874,09,10167,10108
1874,10,10152,10086
1874,11,10126,10087
1874,12,10108,10049
1875,01,10119,10060
1875,02,10110,10064
1875,03,10122,10096
1875,04,10131,10094
1875,05,10132,10106
1875,06,10150,10110
1875,07,10130,10128
1875,08,10145,10129
1875,09,10143,10105
1875,10,10126,10076
1875,11,10099,10090
1875,12,10095,10068
1876,01,10116,10048
1876,02,10122,10053
1876,03,10104,10064
1876,04,10117,10082
1876,05,10134,10109
1876,06,10154,10121
1876,07,10144,10143
1876,08,10164,10128
1876,09,10157,10116
1876,10,10126,10110
1876,11,10111,10086
1876,12,10117,10088
1877,01,10096,10068
1877,02,10095,10077
1877,03,10098,10074
1877,04,10093,10109
1877,05,10109,10111
1877,06,10118,10149
1877,07,10142,10148
1877,08,10143,10139
1877,09,10133,10138
1877,10,10129,10126
1877,11,10113,10103
1877,12,10097,10087
1878,01,10094,10068
1878,02,10094,10093
1878,03,10094,10083
1878,04,10110,10097
1878,05,10125,10106
1878,06,10132,10124
1878,07,10151,10117
1878,08,10168,10131
1878,09,10155,10102
1878,10,10139,10092
1878,11,10134,10082
1878,12,10121,10051
1879,01,10122,10051
1879,02,10129,10053
1879,03,10134,10070
1879,04,10132,10093
1879,05,10125,10106
1879,06,10151,10119
1879,07,10160,10117
1879,08,10168,10116
1879,09,10166,10111
1879,10,10153,10099
1879,11,10121,10077
1879,12,10092,10068
1880,01,10110,10043
1880,02,10130,10068
1880,03,10133,10067
1880,04,10130,10100
1880,05,10135,10103
1880,06,10147,10124
1880,07,10153,10141
1880,08,10169,10130
1880,09,10162,10125
1880,10,10153,10116
1880,11,10138,10098
1880,12,10113,10082
1881,01,10098,10069
1881,02,10107,10073
1881,03,10135,10092
1881,04,10137,10113
1881,05,10120,10109
1881,06,10131,10125
1881,07,10144,10143
1881,08,10140,10141
1881,09,10132,10131
1881,10,10117,10127
1881,11,10118,10078
1881,12,10114,10065
1882,01,10094,10064
1882,02,10107,10064
1882,03,10123,10074
1882,04,10110,10085
1882,05,10120,10095
1882,06,10119,10122
1882,07,10109,10132
1882,08,10109,10132
1882,09,10117,10118
1882,10,10126,10094
1882,11,10128,10095
1882,12,10112,10057
1883,01,10131,10074
1883,02,10095,10066
1883,03,10084,10091
1883,04,10126,10085
1883,05,10139,10105
1883,06,10141,10125
1883,07,10123,10129
1883,08,10137,10118
1883,09,10128,10118
1883,10,10138,10101
1883,11,10108,10071
1883,12,10073,10068
1884,01,10092,10074
1884,02,10109,10074
1884,03,10131,10074
1884,04,10117,10112
1884,05,10130,10112
1884,06,10148,10125
1884,07,10137,10132
1884,08,10134,10125
1884,09,10134,10122
1884,10,10144,10108
1884,11,10118,10091
1884,12,10084,10074
1885,01,10084,10074
1885,02,10113,10064
1885,03,10134,10085
1885,04,10128,10105
1885,05,10140,10129
1885,06,10129,10135
1885,07,10144,10142
1885,08,10134,10132
1885,09,10149,10132
1885,10,10125,10125
1885,11,10117,10112
1885,12,10116,10071
1886,01,10121,10078
1886,02,10106,10057
1886,03,10130,10085
1886,04,10120,10091
1886,05,10129,10105
1886,06,10140,10122
1886,07,10139,10118
1886,08,10150,10112
1886,09,10154,10108
1886,10,10149,10098
1886,11,10126,10081
1886,12,10107,10044
1887,01,10127,10057
1887,02,10116,10047
1887,03,10129,10071
1887,04,10120,10085
1887,05,10119,10108
1887,06,10143,10125
1887,07,10152,10135
1887,08,10149,10125
1887,09,10154,10122
1887,10,10149,10112
1887,11,10116,10095
1887,12,10126,10081
1888,01,10092,10054
1888,02,10112,10071
1888,03,10116,10098
1888,04,10100,10105
1888,05,10116,10112
1888,06,10124,10132
1888,07,10123,10139
1888,08,10138,10135
1888,09,10133,10125
1888,10,10127,10122
1888,11,10108,10098
1888,12,10118,10088
1889,01,10081,10091
1889,02,10127,10085
1889,03,10090,10101
1889,04,10124,10101
1889,05,10126,10112
1889,06,10151,10112
1889,07,10141,10129
1889,08,10149,10129
1889,09,10150,10108
1889,10,10137,10101
1889,11,10121,10057
1889,12,10122,10044
1890,01,10128,10040
1890,02,10133,10064
1890,03,10134,10068
1890,04,10120,10088
1890,05,10129,10108
1890,06,10134,10115
1890,07,10131,10125
1890,08,10134,10122
1890,09,10144,10105
1890,10,10133,10098
1890,11,10124,10091
1890,12,10110,10074
1891,01,10131,10054
1891,02,10106,10068
1891,03,10113,10091
1891,04,10130,10101
1891,05,10138,10122
1891,06,10142,10132
1891,07,10142,10142
1891,08,10152,10149
1891,09,10145,10139
1891,10,10145,10115
1891,11,10123,10101
1891,12,10114,10088
1892,01,10114,10064
1892,02,10105,10081
1892,03,10121,10061
1892,04,10130,10098
1892,05,10147,10118
1892,06,10154,10118
1892,07,10153,10132
1892,08,10148,10122
1892,09,10136,10112
1892,10,10137,10091
1892,11,10101,10081
1892,12,10113,10071
1893,01,10121,10057
1893,02,10119,10057
1893,03,10136,10088
1893,04,10129,10091
1893,05,10147,10112
1893,06,10153,10118
1893,07,10160,10122
1893,08,10161,10132
1893,09,10160,10115
1893,10,10137,10095
1893,11,10131,10088
1893,12,10106,10078
1894,01,10121,10034
1894,02,10129,10061
1894,03,10130,10074
1894,04,10129,10095
1894,05,10123,10118
1894,06,10142,10129
1894,07,10155,10139
1894,08,10122,10125
1894,09,10142,10122
1894,10,10143,10108
1894,11,10109,10091
1894,12,10116,10078
1895,01,10110,10054
1895,02,10131,10071
1895,03,10123,10085
1895,04,10136,10101
1895,05,10142,10122
1895,06,10130,10129
1895,07,10127,10129
1895,08,10128,10125
1895,09,10133,10118
1895,10,10127,10108
1895,11,10129,10108
1895,12,10097,10078
1896,01,10108,10061
1896,02,10117,10061
1896,03,10106,10078
1896,04,10104,10091
1896,05,10112,10139
1896,06,10116,10132
1896,07,10123,10135
1896,08,10131,10149
1896,09,10127,10135
1896,10,10127,10129
1896,11,10112,10101
1896,12,10102,10095
1897,01,10096,10078
1897,02,10104,10074
1897,03,10107,10098
1897,04,10110,10108
1897,05,10120,10125
1897,06,10137,10125
1897,07,10145,10139
1897,08,10150,10132
1897,09,10142,10118
1897,10,10140,10108
1897,11,10108,10091
1897,12,10112,10057
1898,01,10120,10061
1898,02,10110,10051
1898,03,10115,10040
1898,04,10128,10091
1898,05,10129,10115
1898,06,10131,10122
1898,07,10151,10132
1898,08,10155,10125
1898,09,10147,10108
1898,10,10133,10095
1898,11,10103,10068
1898,12,10105,10061
1899,01,10126,10054
1899,02,10136,10071
1899,03,10126,10061
1899,04,10120,10091
1899,05,10122,10115
1899,06,10131,10132
1899,07,10136,10135
1899,08,10130,10129
1899,09,10146,10125
1899,10,10158,10119
1899,11,10151,10098
