year,month,soi
1866,01,-0.616
1866,02,-0.117
1866,03,-0.615
1866,04,-0.646
1866,05,0.038
1866,06,-0.815
1866,07,-0.345
1866,08,0.36
1866,09,-0.176
1866,10,0.072
1866,11,1.097
1866,12,-0.159
1867,01,0.095
1867,02,-0.012
1867,03,-0.091
1867,04,0.83
1867,05,0.503
1867,06,-0.483
1867,07,0.44
1867,08,0.34
1867,09,0.12
1867,10,-0.558
1867,11,-0.649
1867,12,-0.889
1868,01,-0.163
1868,02,-0.337
1868,03,-1.563
1868,04,0.303
1868,05,-1.336
1868,06,-2.199
1868,07,-0.402
1868,08,-1.415
1868,09,-1.226
1868,10,-1.241
1868,11,-1.493
1868,12,0.515
1869,01,-1.896
1869,02,-0.264
1869,03,-0.586
1869,04,2.117
1869,05,1.405
1869,06,1.534
1869,07,1.422
1869,08,0.936
1869,09,0.117
1869,10,0.852
1869,11,0.563
1869,12,0.422
1870,01,1.062
1870,02,0.181
1870,03,-0.746
1870,04,0.472
1870,05,-0.113
1870,06,-1.103
1870,07,0.172
1870,08,0.979
1870,09,-0.002
1870,10,-0.578
1870,11,-0.856
1870,12,-1.294
1871,01,-1.129
1871,02,-0.129
1871,03,-2.0
1871,04,-0.456
1871,05,-0.47
1871,06,0.245
1871,07,0.313
1871,08,0.382
1871,09,0.576
1871,10,-0.138
1871,11,-0.021
1871,12,0.97
1872,01,2.69
1872,02,1.117
1872,03,1.689
1872,04,-0.541
1872,05,1.354
1872,06,2.454
1872,07,2.301
1872,08,0.986
1872,09,3.142
1872,10,1.895
1872,11,3.092
1872,12,2.795
1873,01,2.469
1873,02,1.124
1873,03,1.627
1873,04,2.285
1873,05,1.185
1873,06,-3.09
1873,07,-1.141
1873,08,-0.586
1873,09,-2.134
1873,10,-1.775
1873,11,-0.356
1873,12,1.332
1874,01,0.901
1874,02,-0.277
1874,03,-0.52
1874,04,0.978
1874,05,1.289
1874,06,-1.923
1874,07,-0.144
1874,08,0.753
1874,09,2.031
1874,10,2.193
1874,11,0.534
1874,12,1.277
1875,01,0.655
1875,02,-0.112
1875,03,-0.997
1875,04,1.4
1875,05,0.753
1875,06,2.573
1875,07,-0.485
1875,08,-0.212
1875,09,0.826
1875,10,0.929
1875,11,-1.54
1875,12,-0.54
1876,01,1.156
1876,02,0.981
1876,03,-0.102
1876,04,0.936
1876,05,0.745
1876,06,1.976
1876,07,-0.509
1876,08,1.082
1876,09,0.98
1876,10,-1.0
1876,11,-0.464
1876,12,-0.451
1877,01,-0.882
1877,02,-1.444
1877,03,-1.069
1877,04,-3.873
1877,05,-1.706
1877,06,-4.344
1877,07,-0.957
1877,08,-1.058
1877,09,-1.71
1877,10,-1.697
1877,11,-1.307
1877,12,-1.516
1878,01,-0.979
1878,02,-2.216
1878,03,-1.857
1878,04,-1.068
1878,05,0.103
1878,06,-0.587
1878,07,1.597
1878,08,1.124
1878,09,1.695
1878,10,0.937
1878,11,1.387
1878,12,1.892
1879,01,1.283
1879,02,1.329
1879,03,1.304
1879,04,1.589
1879,05,0.103
1879,06,1.849
1879,07,2.192
1879,08,2.201
1879,09,1.795
1879,10,1.525
1879,11,0.761
1879,12,-0.708
1880,01,1.136
1880,02,0.703
1880,03,1.429
1880,04,0.788
1880,05,1.225
1880,06,0.973
1880,07,0.212
1880,08,1.261
1880,09,0.734
1880,10,0.561
1880,11,0.742
1880,12,-0.332
1881,01,-0.84
1881,02,-0.667
1881,03,0.016
1881,04,0.429
1881,05,-0.555
1881,06,-0.783
1881,07,-0.509
1881,08,-1.395
1881,09,-1.352
1881,10,-2.599
1881,11,0.492
1881,12,0.698
1882,01,-0.764
1882,02,-0.261
1882,03,0.409
1882,04,-0.055
1882,05,0.347
1882,06,-1.754
1882,07,-2.125
1882,08,-2.743
1882,09,-1.444
1882,10,-0.093
1882,11,0.212
1882,12,1.044
1883,01,0.48
1883,02,-0.948
1883,03,-2.938
1883,04,1.632
1883,05,1.468
1883,06,0.257
1883,07,-1.011
1883,08,0.063
1883,09,-0.81
1883,10,0.355
1883,11,0.194
1883,12,-1.774
1884,01,-1.398
1884,02,-0.613
1884,03,0.882
1884,04,-1.595
1884,05,0.18
1884,06,0.984
1884,07,-0.276
1884,08,-0.633
1884,09,-0.702
1884,10,0.381
1884,11,-0.26
1884,12,-1.5
1885,01,-1.783
1885,02,0.037
1885,03,0.386
1885,04,0.155
1885,05,0.014
1885,06,-1.911
1885,07,-0.446
1885,08,-1.135
1885,09,-0.431
1885,10,-1.922
1885,11,-1.547
1885,12,0.466
1886,01,-0.217
1886,02,0.005
1886,03,0.149
1886,04,0.493
1886,05,0.539
1886,06,0.429
1886,07,0.741
1886,08,1.33
1886,09,1.282
1886,10,1.301
1886,11,0.882
1886,12,1.508
1887,01,1.201
1887,02,0.953
1887,03,0.947
1887,04,0.999
1887,05,-0.584
1887,06,0.465
1887,07,0.525
1887,08,0.333
1887,09,0.451
1887,10,0.506
1887,11,-0.633
1887,12,0.454
1888,01,-0.322
1888,02,-0.328
1888,03,-1.475
1888,04,-2.797
1888,05,-1.12
1888,06,-2.155
1888,07,-1.643
1888,08,-1.093
1888,09,-0.938
1888,10,-1.611
1888,11,-1.369
1888,12,-0.395
1889,01,-2.841
1889,02,-0.213
1889,03,-3.196
1889,04,0.071
1889,05,-0.191
1889,06,2.493
1889,07,0.178
1889,08,0.046
1889,09,1.051
1889,10,0.285
1889,11,1.919
1889,12,2.349
1890,01,2.163
1890,02,1.032
1890,03,1.427
1890,04,0.746
1890,05,0.345
1890,06,0.449
1890,07,-0.23
1890,08,-0.417
1890,09,0.883
1890,10,0.174
1890,11,0.162
1890,12,-0.042
1891,01,1.555
1891,02,-0.491
1891,03,-1.223
1891,04,0.704
1891,05,0.279
1891,06,-0.284
1891,07,-0.578
1891,08,-1.197
1891,09,-1.077
1891,10,0.054
1891,11,-0.487
1891,12,-0.619
1892,01,0.199
1892,02,-1.127
1892,03,1.087
1892,04,0.957
1892,05,1.373
1892,06,2.253
1892,07,0.781
1892,08,0.484
1892,09,0.007
1892,10,0.852
1892,11,-0.878
1892,12,0.298
1893,01,0.912
1893,02,0.652
1893,03,0.32
1893,04,1.442
1893,05,1.76
1893,06,2.149
1893,07,1.876
1893,08,0.602
1893,09,1.212
1893,10,0.626
1893,11,0.828
1893,12,-0.496
1894,01,2.149
1894,02,0.969
1894,03,0.823
1894,04,1.104
1894,05,-0.857
1894,06,-0.008
1894,07,0.471
1894,08,-1.405
1894,09,-0.241
1894,10,0.31
1894,11,-0.894
1894,12,0.065
1895,01,0.544
1895,02,0.617
1895,03,-0.265
1895,04,1.336
1895,05,0.651
1895,06,-1.255
1895,07,-0.747
1895,08,-1.019
1895,09,-0.522
1895,10,-0.817
1895,11,-0.47
1895,12,-1.0
1896,01,0.072
1896,02,0.372
1896,03,-0.841
1896,04,-1.194
1896,05,-3.232
1896,06,-2.987
1896,07,-1.39
1896,08,-2.548
1896,09,-1.877
1896,10,-2.008
1896,11,-1.262
1896,12,-1.693
1897,01,-1.42
1897,02,-0.861
1897,03,-2.007
1897,04,-1.996
1897,05,-1.587
1897,06,-0.159
1897,07,-0.19
1897,08,-0.105
1897,09,-0.004
1897,10,0.099
1897,11,-0.964
1897,12,1.044
1898,01,0.649
1898,02,0.474
1898,03,2.018
1898,04,1.336
1898,05,-0.106
1898,06,-0.507
1898,07,0.649
1898,08,0.719
1898,09,0.878
1898,10,0.344
1898,11,0.016
1898,12,0.422
1899,01,1.314
1899,02,0.866
1899,03,1.383
1899,04,0.493
1899,05,-0.756
1899,06,-1.427
1899,07,-0.531
1899,08,-1.177
1899,09,-0.189
1899,10,0.743
1899,11,1.657
1899,12,-0.443
1900,01,-0.891
1900,02,-0.729
1900,03,-2.953
1900,04,-2.101
1900,05,-0.756
1900,06,3.096
1900,07,1.017
1900,08,0.751
1900,09,-1.612
1900,10,-2.125
1900,11,-0.753
