year,month,mslp_anomaly,mslp_standardised,soi
1966,01,-2.2,-1.3,-1.3
1966,02,-0.4,-0.2,-0.2
1966,03,-1.5,-0.9,-0.9
1966,04,-0.3,-0.2,-0.2
1966,05,-0.7,-0.4,-0.4
1966,06,0.5,0.3,0.3
1966,07,0.1,0.1,0.1
1966,08,1.1,0.6,0.6
1966,09,-0.4,-0.2,-0.2
1966,10,-0.2,-0.1,-0.1
1966,11,-0.0,-0.0,-0.0
1966,12,-0.6,-0.3,-0.3
1967,01,2.8,1.7,1.7
1967,02,2.8,1.7,1.7
1967,03,2.0,1.2,1.2
1967,04,-0.1,-0.0,-0.0
1967,05,-0.0,-0.0,-0.0
1967,06,1.1,0.6,0.6
1967,07,0.3,0.2,0.2
1967,08,1.2,0.7,0.7
1967,09,0.8,0.5,0.5
1967,10,0.1,0.1,0.1
1967,11,-0.7,-0.4,-0.4
1967,12,-0.9,-0.6,-0.6
1968,01,0.9,0.5,0.5
1968,02,2.1,1.3,1.3
1968,03,0.2,0.1,0.1
1968,04,0.0,0.0,0.0
1968,05,2.1,1.2,1.2
1968,06,1.8,1.1,1.1
1968,07,1.1,0.7,0.7
1968,08,0.4,0.3,0.3
1968,09,-0.4,-0.3,-0.3
1968,10,-0.1,-0.1,-0.1
1968,11,-0.6,-0.3,-0.3
1968,12,0.3,0.2,0.2
1969,01,-2.4,-1.5,-1.5
1969,02,-0.9,-0.5,-0.5
1969,03,0.7,0.4,0.4
1969,04,-0.6,-0.4,-0.4
1969,05,-0.4,-0.2,-0.2
1969,06,0.3,0.2,0.2
1969,07,-0.8,-0.5,-0.5
1969,08,-0.2,-0.1,-0.1
1969,09,-1.6,-1.0,-1.0
1969,10,-1.5,-0.9,-0.9
1969,11,-0.1,-0.1,-0.1
1969,12,0.7,0.4,0.4
1970,01,-1.9,-1.1,-1.1
1970,02,-1.7,-1.0,-1.0
1970,03,1.0,0.6,0.6
1970,04,-0.1,-0.1,-0.1
1970,05,0.6,0.4,0.4
1970,06,1.6,1.0,1.0
1970,07,-0.6,-0.4,-0.4
1970,08,1.0,0.6,0.6
1970,09,1.9,1.2,1.2
1970,10,1.7,1.0,1.0
1970,11,2.6,1.6,1.6
1970,12,3.2,1.9,1.9
1971,01,0.6,0.4,0.4
1971,02,3.3,2.0,2.0
1971,03,3.8,2.3,2.3
1971,04,2.8,1.7,1.7
1971,05,1.4,0.9,0.9
1971,06,0.7,0.4,0.4
1971,07,0.4,0.2,0.2
1971,08,2.5,1.5,1.5
1971,09,2.3,1.4,1.4
1971,10,2.8,1.7,1.7
1971,11,0.9,0.5,0.5
1971,12,0.4,0.3,0.3
1972,01,0.8,0.5,0.5
1972,02,1.8,1.1,1.1
1972,03,1.1,0.6,0.6
1972,04,-0.2,-0.1,-0.1
1972,05,-2.6,-1.6,-1.6
1972,06,-0.9,-0.5,-0.5
1972,07,-2.4,-1.4,-1.4
1972,08,-0.8,-0.5,-0.5
1972,09,-2.2,-1.4,-1.4
1972,10,-1.5,-0.9,-0.9
1972,11,-0.6,-0.3,-0.3
1972,12,-2.1,-1.3,-1.3
1973,01,-0.5,-0.3,-0.3
1973,02,-2.3,-1.4,-1.4
1973,03,1.2,0.7,0.7
1973,04,0.1,0.1,0.1
1973,05,0.7,0.4,0.4
1973,06,1.8,1.1,1.1
1973,07,1.0,0.6,0.6
1973,08,2.1,1.3,1.3
1973,09,2.0,1.2,1.2
1973,10,1.3,0.8,0.8
1973,11,4.3,2.6,2.6
1973,12,3.0,1.8,1.8
1974,01,4.0,2.4,2.4
1974,02,3.4,2.1,2.1
1974,03,4.0,2.4,2.4
1974,04,1.6,0.9,0.9
1974,05,1.6,1.0,1.0
1974,06,0.7,0.4,0.4
1974,07,1.9,1.1,1.1
1974,08,1.3,0.8,0.8
1974,09,1.8,1.1,1.1
1974,10,1.5,0.9,0.9
1974,11,-0.2,-0.1,-0.1
1974,12,0.3,0.2,0.2
1975,01,-0.8,-0.5,-0.5
1975,02,1.3,0.8,0.8
1975,03,2.6,1.6,1.6
1975,04,1.9,1.2,1.2
1975,05,1.1,0.6,0.6
1975,06,2.1,1.3,1.3
1975,07,3.1,1.9,1.9
1975,08,3.3,2.0,2.0
1975,09,3.4,2.1,2.1
1975,10,2.8,1.7,1.7
1975,11,1.9,1.2,1.2
1975,12,3.5,2.1,2.1
1976,01,2.3,1.4,1.4
1976,02,2.8,1.7,1.7
1976,03,2.9,1.7,1.7
1976,04,0.5,0.3,0.3
1976,05,0.6,0.4,0.4
1976,06,0.4,0.3,0.3
