year 01 02 03 04 05 06 07 08 09 10 11 12
1866 10072 10063 10083 10097 10107 10131 10131 10130 10118 10106 10087 10078
1867 10074 10064 10087 10097 10107 10124 10128 10124 10113 10096 10105 10079
1868 10060 10069 10084 10102 10124 10137 10134 10135 10125 10113 10105 10077
1869 10077 10074 10097 10068 10093 10110 10125 10113 10115 10091 10078 10061
1870 10039 10052 10089 10100 10118 10133 10127 10116 10117 10110 10094 10089
1871 10069 10071 10095 10096 10112 10124 10130 10127 10116 10101 10082 10072
1872 10032 10050 10056 10117 10101 10100 10109 10115 10099 10090 10072 10046
1873 10037 10073 10085 10101 10131 10167 10153 10136 10150 10110 10089 10050
1874 10059 10082 10094 10094 10102 10134 10132 10129 10108 10086 10087 10049
1875 10060 10064 10096 10094 10106 10110 10128 10129 10105 10076 10090 10068
1876 10048 10053 10064 10082 10109 10121 10143 10128 10116 10110 10086 10088
1877 10068 10077 10074 10109 10111 10149 10148 10139 10138 10126 10103 10087
1878 10068 10093 10083 10097 10106 10124 10117 10131 10102 10092 10082 10051
1879 10051 10053 10070 10093 10106 10119 10117 10116 10111 10099 10077 10068
1880 10043 10068 10067 10100 10103 10124 10141 10130 10125 10116 10098 10082
1881 10069 10073 10092 10113 10109 10125 10143 10141 10131 10127 10078 10065
1882 10064 10064 10074 10085 10095 10122 10132 10132 10118 10094 10095 10057
1883 10074 10066 10091 10085 10105 10125 10129 10118 10118 10101 10071 10068
1884 10074 10074 10074 10112 10112 10125 10132 10125 10122 10108 10091 10074
1885 10074 10064 10085 10105 10129 10135 10142 10132 10132 10125 10112 10071
1886 10078 10057 10085 10091 10105 10122 10118 10112 10108 10098 10081 10044
1887 10057 10047 10071 10085 10108 10125 10135 10125 10122 10112 10095 10081
1888 10054 10071 10098 10105 10112 10132 10139 10135 10125 10122 10098 10088
1889 10091 10085 10101 10101 10112 10112 10129 10129 10108 10101 10057 10044
1890 10040 10064 10068 10088 10108 10115 10125 10122 10105 10098 10091 10074
1891 10054 10068 10091 10101 10122 10132 10142 10149 10139 10115 10101 10088
1892 10064 10081 10061 10098 10118 10118 10132 10122 10112 10091 10081 10071
1893 10057 10057 10088 10091 10112 10118 10122 10132 10115 10095 10088 10078
1894 10034 10061 10074 10095 10118 10129 10139 10125 10122 10108 10091 10078
1895 10054 10071 10085 10101 10122 10129 10129 10125 10118 10108 10108 10078
1896 10061 10061 10078 10091 10139 10132 10135 10149 10135 10129 10101 10095
1897 10078 10074 10098 10108 10125 10125 10139 10132 10118 10108 10091 10057
