year 01 02 03 04 05 06 07 08 09 10 11 12
1866 10106 10109 10115 10114 10125 10136 10135 10155 10139 10138 10134 10112
1867 10123 10112 10128 10128 10130 10133 10144 10148 10139 10121 10124 10100
1868 10102 10110 10100 10127 10122 10128 10137 10133 10128 10125 10112 10123
1869 10085 10116 10130 10117 10130 10140 10156 10145 10141 10137 10119 10105
1870 10104 10105 10119 10127 10131 10135 10139 10149 10141 10132 10112 10103
1871 10092 10116 10104 10115 10123 10140 10144 10152 10150 10131 10114 10126
1872 10130 10122 10126 10131 10135 10140 10154 10148 10177 10151 10150 10132
1873 10131 10143 10155 10145 10154 10146 10144 10147 10138 10115 10115 10110
1874 10123 10123 10128 10127 10135 10128 10139 10160 10167 10152 10126 10108
1875 10119 10110 10122 10131 10132 10150 10130 10145 10143 10126 10099 10095
1876 10116 10122 10104 10117 10134 10154 10144 10164 10157 10126 10111 10117
1877 10096 10095 10098 10093 10109 10118 10142 10143 10133 10129 10113 10097
1878 10094 10094 10094 10110 10125 10132 10151 10168 10155 10139 10134 10121
1879 10122 10129 10134 10132 10125 10151 10160 10168 10166 10153 10121 10092
1880 10110 10130 10133 10130 10135 10147 10153 10169 10162 10153 10138 10113
1881 10098 10107 10135 10137 10120 10131 10144 10140 10132 10117 10118 10114
1882 10094 10107 10123 10110 10120 10119 10109 10109 10117 10126 10128 10112
1883 10131 10095 10084 10126 10139 10141 10123 10137 10128 10138 10108 10073
1884 10092 10109 10131 10117 10130 10148 10137 10134 10134 10144 10118 10084
1885 10084 10113 10134 10128 10140 10129 10144 10134 10149 10125 10117 10116
1886 10121 10106 10130 10120 10129 10140 10139 10150 10154 10149 10126 10107
1887 10127 10116 10129 10120 10119 10143 10152 10149 10154 10149 10116 10126
1888 10092 10112 10116 10100 10116 10124 10123 10138 10133 10127 10108 10118
1889 10081 10127 10090 10124 10126 10151 10141 10149 10150 10137 10121 10122
1890 10128 10133 10134 10120 10129 10134 10131 10134 10144 10133 10124 10110
1891 10131 10106 10113 10130 10138 10142 10142 10152 10145 10145 10123 10114
1892 10114 10105 10121 10130 10147 10154 10153 10148 10136 10137 10101 10113
1893 10121 10119 10136 10129 10147 10153 10160 10161 10160 10137 10131 10106
1894 10121 10129 10130 10129 10123 10142 10155 10122 10142 10143 10109 10116
1895 10110 10131 10123 10136 10142 10130 10127 10128 10133 10127 10129 10097
1896 10108 10117 10106 10104 10112 10116 10123 10131 10127 10127 10112 10102
1897 10096 10104 10107 10110 10120 10137 10145 10150 10142 10140 10108 10112
1898 10120 10110 10115 10128 10129 10131 10151 10155 10147 10133 10103 10105
1899 10126 10136 10126 10120 10122 10131 10136 10130 10146 10158 10151 10110
1900 10107 10113 10091 10109 10122 10163 10147 10141 10111 10106 10111 10109
1901 10108 10120 10132 10127 10131 10158 10164 10164 10126 10098 10114 10106
1902 10138 10122 10142 10135 10155 10147 10151 10138 10129 10139 10132 10114
1903 10106 10109 10130 10136 10138 10140 10134 10146 10150 10138 10116 10120
1904 10132 10134 10128 10137 10136 10135 10128 10150 10146 10129 10105 10118
1905 10103 10088 10092 10100 10110 10120 10116 10140 10131 10122 10110 10094
1906 10101 10101 10118 10113 10117 10129 10139 10166 10159 10142 10133 10110
1907 10107 10105 10118 10113 10124 10134 10134 10132 10145 10130 10111 10106
1908 10105 10120 10106 10117 10130 10136 10160 10147 10172 10144 10118 10095
1909 10097 10117 10097 10104 10124 10155 10148 10151 10137 10131 10124 10112
1910 10100 10129 10131 10111 10129 10151 10160 10151 10154 10151 10130 10124
1911 10105 10107 10124 10111 10125 10136 10125 10133 10131 10129 10116 10107
1912 10099 10100 10104 10113 10125 10129 10128 10137 10129 10128 10121 10104
1913 10098 10106 10110 10111 10131 10139 10146 10134 10140 10133 10113 10102
1914 10118 10135 10132 10105 10115 10122 10136 10142 10134 10150 10129 10125
1915 10077 10113 10106 10118 10146 10159 10167 10164 10152 10144 10092 10108
1916 10107 10099 10103 10121 10123 10128 10161 10164 10139 10130 10122 10106
1917 10116 10142 10131 10135 10149 10150 10161 10179 10178 10152 10136 10130
1918 10129 10135 10124 10135 10137 10131 10127 10145 10152 10133 10122 10100
1919 10084 10110 10101 10115 10115 10128 10128 10141 10139 10124 10110 10098
1920 10099 10110 10120 10112 10121 10122 10136 10144 10144 10124 10114 10108
1921 10118 10124 10128 10112 10121 10160 10136 10138 10151 10150 10130 10112
1922 10115 10116 10118 10112 10115 10134 10138 10144 10147 10144 10130 10119
1923 10107 10119 10120 10115 10121 10128 10131 10134 10124 10134 10105 10110
1924 10108 10116 10119 10100 10136 10144 10153 10162 10156 10137 10128 10103
1925 10110 10116 10118 10119 10120 10128 10128 10129 10142 10123 10117 10102
1926 10097 10100 10110 10117 10125 10132 10137 10134 10141 10134 10126 10111
1927 10106 10116 10141 10120 10132 10142 10137 10140 10148 10134 10112 10121
1928 10108 10126 10129 10129 10132 10131 10138 10164 10156 10139 10128 10122
1929 10108 10128 10124 10124 10120 10148 10151 10149 10148 10150 10127 10110
1930 10118 10126 10124 10121 10138 10134 10138 10149 10144 10154 10140 10110
1931 10123 10099 10135 10129 10148 10160 10156 10136 10142 10130 10114 10119
1932 10103 10115 10108 10098 10129 10136 10121 10141 10124 10124 10113 10105
1933 10089 10110 10104 10123 10136 10132 10144 10148 10146 10133 10121 10115
1934 10116 10121 10111 10119 10122 10144 10139 10117 10135 10144 10134 10105
1935 10112 10111 10123 10122 10130 10138 10138 10155 10142 10139 10126 10108
1936 10108 10115 10118 10142 10124 10135 10141 10125 10143 10137 10103 10104
1937 10115 10113 10112 10117 10135 10138 10136 10147 10150 10133 10107 10112
1938 10111 10111 10114 10119 10131 10149 10157 10152 10155 10158 10110 10130
1939 10127 10120 10125 10126 10127 10135 10151 10131 10140 10120 10108 10109
1940 10102 10101 10108 10120 10120 10127 10128 10130 10133 10138 10114 10075
1941 10102 10110 10107 10116 10120 10131 10132 10132 10137 10115 10107 10106
1942 10102 10101 10115 10120 10121 10140 10140 10144 10149 10138 10106 10129
1943 10127 10117 10121 10128 10128 10133 10140 10149 10144 10141 10119 10095
1944 10099 10121 10126 10119 10131 10138 10136 10157 10152 10128 10109 10106
1945 10120 10123 10122 10118 10129 10140 10149 10157 10157 10144 10117 10120
1946 10102 10110 10122 10116 10118 10132 10132 10144 10124 10127 10119 10097
1947 10109 10100 10131 10114 10123 10141 10156 10144 10158 10132 10125 10112
1948 10111 10105 10108 10117 10129 10133 10134 10132 10133 10143 10112 10101
1949 10102 10106 10112 10126 10120 10132 10137 10144 10145 10136 10110 10102
1950 10102 10125 10137 10120 10125 10152 10163 10156 10152 10152 10113 10124
1951 10125 10110 10100 10108 10119 10122 10122 10140 10129 10123 10111 10110
1952 10094 10102 10125 10118 10129 10146 10147 10139 10141 10133 10107 10096
1953 10118 10106 10109 10112 10112 10134 10147 10120 10133 10136 10119 10107
1954 10105 10110 10114 10108 10122 10132 10139 10150 10146 10139 10124 10125
1955 10117 10114 10111 10106 10125 10140 10154 10153 10157 10148 10129 10129
1956 10116 10119 10126 10119 10129 10140 10140 10149 10139 10157 10120 10110
1957 10120 10105 10114 10119 10123 10135 10141 10136 10138 10143 10110 10106
1958 10094 10103 10118 10114 10111 10128 10137 10145 10133 10121 10113 10105
1959 10087 10103 10124 10117 10124 10132 10137 10140 10143 10141 10123 10112
1960 10110 10110 10121 10118 10123 10134 10142 10152 10140 10135 10127 10120
1961 10111 10124 10096 10127 10130 10137 10143 10148 10147 10125 10133 10129
1962 10131 10113 10121 10123 10133 10135 10132 10159 10145 10144 10119 10109
1963 10122 10132 10120 10117 10124 10134 10143 10136 10142 10130 10120 10104
1964 10109 10116 10125 10133 10123 10141 10140 10161 10151 10146 10111 10105
1965 10099 10107 10115 10121 10127 10137 10129 10136 10134 10135 10106 10104
1966 10094 10106 10100 10114 10128 10147 10137 10149 10141 10138 10118 10103
1967 10127 10130 10126 10127 10123 10145 10140 10154 10161 10137 10112 10102
1968 10094 10116 10116 10118 10130 10149 10148 10144 10141 10136 10122 10113
1969 10075 10096 10126 10122 10119 10138 10134 10144 10124 10125 10120 10111
1970 10105 10095 10115 10118 10125 10143 10140 10143 10146 10133 10134 10123
1971 10108 10124 10135 10131 10132 10145 10137 10157 10158 10153 10123 10097
1972 10110 10114 10111 10123 10120 10125 10119 10141 10136 10137 10122 10107
1973 10111 10100 10115 10111 10128 10137 10143 10151 10160 10141 10135 10134
1974 10128 10124 10132 10125 10140 10139 10155 10148 10154 10140 10105 10099
1975 10098 10126 10127 10119 10128 10145 10160 10162 10166 10147 10132 10129
1976 10120 10127 10120 10124 10139 10137 10132 10139 10132 10134 10121 10093
1977 10095 10118 10103 10105 10116 10125 10123 10134 10138 10131 10107 10096
1978 10120 10082 10124 10115 10131 10130 10131 10139 10141 10127 10121 10107
1979 10096 10129 10113 10114 10133 10145 10143 10142 10143 10135 10113 10106
1980 10110 10111 10096 10105 10125 10132 10139 10153 10142 10133 10115 10106
1981 10101 10101 10108 10116 10132 10142 10141 10149 10148 10131 10117 10119
1982 10129 10117 10118 10119 10125 10127 10125 10127 10131 10121 10092 10086
1983 10078 10078 10089 10110 10140 10140 10142 10156 10161 10141 10125 10119
1984 10117 10111 10109 10127 10127 10133 10143 10142 10144 10134 10125 10083
1985 10113 10119 10106 10116 10114 10126 10142 10153 10139 10127 10111 10115
1986 10108 10091 10125 10118 10124 10135 10141 10125 10137 10147 10101 10105
1987 10102 10093 10116 10109 10115 10118 10129 10138 10140 10132 10119 10103
1988 10119 10102 10112 10123 10137 10149 10155 10165 10163 10144 10135 10122
1989 10126 10132 10125 10124 10136 10149 10145 10140 10150 10140 10113 10114
1990 10111 10109 10107 10120 10137 10137 10146 10144 10144 10141 10112 10107
1991 10118 10112 10115 10107 10119 10138 10142 10144 10129 10119 10119 10086
1992 10092 10103 10100 10111 10128 10121 10146 10147 10137 10113 10113 10097
1993 10095 10093 10125 10112 10130 10130 10128 10146 10145 10126 10119 10108
1994 10108 10112 10114 10104 10120 10128 10124 10139 10130 10125 10116 10105
1995 10106 10118 10118 10103 10121 10140 10143 10150 10149 10129 10119 10099
1996 10119 10110 10125 10124 10140 10153 10145 10150 10138 10135 10113 10105
1997 10126 10122 10110 10123 10107 10129 10138 10137 10145 10134 10122 10103
1998 10073 10107 10087 10104 10132 10146 10157 10160 10159 10144 10122 10119
1999 10126 10122 10119 10132 10139 10143 10149 10159 10147 10148 10130 10127
2000 10123 10138 10131 10128 10136 10139 10135 10148 10161 10138 10129 10098
2001 10135 10107 10128 10116 10126 10134 10139 10137 10144 10126 10125 10095
2002 10123 10127 10119 10118 10117 10134 10145 10132 10143 10125 10119 10105
2003 10108 10096 10112 10122 10121 10127 10147 10144 10143 10130 10118 10116
2004 10095 10126 10107 10110 10137 10137 10138 10141 10150 10135 10110 10093
2005 10113 10073 10123 10119 10120 10136 10143 10141 10150 10148 10110 10113
2006 10120 10119 10127 10116 10124 10138 10140 10140 10146 10134 10129 10117
2007 10096 10111 10113 10124 10129 10131 10145 10154 10141 10140 10121 10124
2008 10125 10138 10143 10127 10133 10148 10147 10166 10164 10161 10136 10127
2009 10123 10129 10125 10127 10116 10136 10143 10138 10143 10119 10108 10100
2010 10082 10093 10109 10138 10131 10147 10165 10168 10173 10152 10139 10137
2011 10137 10143 10141 10144 10140 10147 10158 10156 10169 10145 10136 10130
2012 10124 10123 10108 10122 10126 10132 10136 10149 10150 10141 10128 10100
2013 10101 10110 10132 10121 10135 10141 10147 10147 10146 10133 10120 10113
